iter	RMSE
0	14.13191655
1	13.10174332
2	12.17201254
3	11.29764918
4	10.47980171
5	9.766368688
6	9.175053728
7	8.639036014
8	8.123148023
9	7.637909036
10	7.173348891
11	6.813022291
12	6.508866628
13	6.198862277
14	5.929774182
15	5.65556305
16	5.423634523
17	5.222133372
18	5.039143919
19	4.876626008
20	4.741887464
21	4.614778066
22	4.491067249
23	4.400373294
24	4.310319609
25	4.230395579
26	4.151273415
27	4.083948934
28	4.01745642
29	3.966839096
30	3.91315251
31	3.865292183
32	3.822835648
33	3.786939383
34	3.750717103
35	3.714505796
36	3.684575545
37	3.660301719
38	3.637938275
39	3.617562878
40	3.596987851
41	3.576898138
42	3.557438264
43	3.544402143
44	3.525538781
45	3.510893834
46	3.496128757
47	3.479650122
48	3.467873789
49	3.456557283
50	3.443959661
51	3.432806461
52	3.414299619
53	3.404046097
54	3.394231095
55	3.389038014
56	3.378060747
57	3.367255349
58	3.357199243
59	3.351510588
60	3.340416438
61	3.331910902
62	3.323016433
63	3.313612596
64	3.306352065
65	3.295034788
66	3.285686062
67	3.281692417
68	3.275038286
69	3.267764254
70	3.258398977
71	3.256600582
72	3.24854197
73	3.24025009
74	3.236901313
75	3.226937935
76	3.218406847
77	3.215223886
78	3.211773772
79	3.208640902
80	3.202803455
81	3.19248552
82	3.18845036
83	3.181375369
84	3.180916227
85	3.176172691
86	3.165895935
87	3.161768823
88	3.151828631
89	3.141376006
90	3.134414654
91	3.127848478
92	3.122997416
93	3.115927092
94	3.111502651
95	3.110011541
96	3.105993437
97	3.098636619
98	3.094924648
99	3.087173547
