iter	Passed	Remaining
0	1	103
1	1	96
2	2	96
3	3	95
4	5	96
5	6	96
6	7	97
7	8	96
8	9	94
9	10	93
10	11	91
11	12	89
12	13	88
13	14	87
14	15	85
15	16	84
16	16	82
17	17	81
18	18	80
19	19	78
20	20	77
21	21	76
22	22	76
23	23	75
24	24	74
25	25	73
26	26	72
27	27	71
28	28	70
29	29	69
30	30	68
31	31	67
32	32	66
33	33	65
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	59
40	41	59
41	42	58
42	43	57
43	43	55
44	44	54
45	46	54
46	47	53
47	48	52
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	59	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	81	24
77	82	23
78	83	22
79	84	21
80	85	20
81	86	19
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	92	12
88	93	11
89	94	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	100	3
97	101	2
98	102	1
99	103	0
