iter	RMSE
0	14.35622616
1	13.93376424
2	13.53955584
3	13.16703699
4	12.78664921
5	12.4266399
6	12.11032711
7	11.81203685
8	11.49099795
9	11.15733978
10	10.84252115
11	10.58851775
12	10.32499897
13	10.049969
14	9.793970285
15	9.52765216
16	9.283426549
17	9.058332777
18	8.829213757
19	8.614024655
20	8.42392788
21	8.222641967
22	8.020145176
23	7.839769532
24	7.661296574
25	7.507122088
26	7.340353174
27	7.18109338
28	7.025483401
29	6.876104264
30	6.737996685
31	6.592619915
32	6.453945077
33	6.316776415
34	6.184022644
35	6.069689682
36	5.948317681
37	5.845616537
38	5.738078107
39	5.637371703
40	5.540033874
41	5.461680747
42	5.372483878
43	5.284111004
44	5.201431768
45	5.117313271
46	5.0379768
47	4.970563869
48	4.90387952
49	4.832036636
50	4.770331433
51	4.705912796
52	4.646223685
53	4.591564062
54	4.534593027
55	4.482467439
56	4.432243306
57	4.382005726
58	4.339219042
59	4.297600739
60	4.258811645
61	4.217060196
62	4.172871652
63	4.131291892
64	4.095017375
65	4.061757149
66	4.0253843
67	3.993250459
68	3.966609173
69	3.9378353
70	3.912673702
71	3.883864122
72	3.858637932
73	3.837203278
74	3.815408198
75	3.790493309
76	3.76840787
77	3.749399265
78	3.729422602
79	3.707714405
80	3.689957554
81	3.670767865
82	3.653806838
83	3.636717552
84	3.61939558
85	3.604128719
86	3.586518475
87	3.570283875
88	3.558853131
89	3.543642972
90	3.527526708
91	3.51232429
92	3.500634801
93	3.48983854
94	3.479360078
95	3.468385167
96	3.460068697
97	3.451460445
98	3.4421487
99	3.431811
100	3.421888305
101	3.41145683
102	3.403288086
103	3.39089731
104	3.381829062
105	3.371478448
106	3.362052171
107	3.354536571
108	3.347577617
109	3.340778652
110	3.334107547
111	3.326728243
112	3.321042881
113	3.313645693
114	3.306153845
115	3.299979315
116	3.294299291
117	3.287363757
118	3.2830665
119	3.275189157
120	3.268148389
121	3.264573207
122	3.258527961
123	3.253576108
124	3.249225828
125	3.244105758
126	3.238868713
127	3.235219018
128	3.230074623
129	3.225390555
130	3.220877371
131	3.216569024
132	3.212348301
133	3.207968744
134	3.203336595
135	3.198409578
136	3.192972541
137	3.189272375
138	3.1843089
139	3.180290311
140	3.175442641
141	3.172059273
142	3.167109125
143	3.162703003
144	3.159417734
145	3.154856936
146	3.150665016
147	3.1473187
148	3.143466445
149	3.13931277
150	3.135053406
151	3.13099939
152	3.127859978
153	3.124782816
154	3.121685735
155	3.117357582
156	3.114138703
157	3.110225731
158	3.102328663
159	3.098487193
160	3.09568354
161	3.090899477
162	3.083511762
163	3.080030695
164	3.076038813
165	3.073593877
166	3.071339966
167	3.068312739
168	3.065647205
169	3.061181728
170	3.057393561
171	3.05553766
172	3.053294675
173	3.048896691
174	3.04565798
175	3.042817417
176	3.03941631
177	3.037416725
178	3.03257551
179	3.03020312
180	3.024946177
181	3.021595605
182	3.018434301
183	3.016200152
184	3.014150535
185	3.012571484
186	3.008659105
187	3.006871269
188	3.004126071
189	3.001807502
190	2.999098589
191	2.995393656
192	2.991447389
193	2.987700046
194	2.984622095
195	2.982437451
196	2.979760469
197	2.975544275
198	2.971539142
199	2.967962682
200	2.964302701
201	2.96322298
202	2.958096074
203	2.955684363
204	2.952152632
205	2.94990993
206	2.945331262
207	2.942917895
208	2.94131614
209	2.938050502
210	2.935434681
211	2.933260282
212	2.930426059
213	2.926636556
214	2.925327536
215	2.924459704
216	2.921061102
217	2.919457417
218	2.916232239
219	2.913316286
220	2.909024708
221	2.907562146
222	2.906153395
223	2.904671886
224	2.900947869
225	2.898420588
226	2.896585942
227	2.894008562
228	2.891188796
229	2.888566979
230	2.886693781
231	2.882554552
232	2.881022535
233	2.876211322
234	2.875164728
235	2.873927719
236	2.872741477
237	2.869397974
238	2.867475449
239	2.864245561
240	2.862839979
241	2.860164056
242	2.859179177
243	2.856975858
244	2.853676765
245	2.851769693
246	2.849624384
247	2.848779541
248	2.847240098
249	2.846919703
250	2.844413215
251	2.841060109
252	2.837444694
253	2.835215982
254	2.833101443
255	2.830213916
256	2.82943727
257	2.827093577
258	2.825230891
259	2.822748004
260	2.820240517
261	2.816437189
262	2.814317293
263	2.812744088
264	2.810210008
265	2.80653201
266	2.803663441
267	2.800017872
268	2.79648342
269	2.793047839
270	2.790700877
271	2.786032723
272	2.783388889
273	2.780327662
274	2.776564572
275	2.775078619
276	2.772552352
277	2.769544142
278	2.766672192
279	2.764083441
280	2.762388671
281	2.760057221
282	2.7572861
283	2.752858845
284	2.750030892
285	2.747499799
286	2.744541386
287	2.742195426
288	2.739632573
289	2.736557113
290	2.735757461
291	2.732533439
292	2.730385645
293	2.726751168
294	2.724294906
