iter	Passed	Remaining
0	1	1615
1	3	1933
2	5	1980
3	8	2013
4	10	2040
5	12	2014
6	14	1994
7	16	1987
8	18	2004
9	20	1997
10	21	1964
11	24	1983
12	25	1961
13	27	1953
14	29	1936
15	30	1897
16	32	1881
17	34	1906
18	37	1944
19	39	1947
20	42	1983
21	44	1987
22	47	2032
23	50	2048
24	51	2016
25	53	1996
26	54	1976
27	56	1956
28	57	1937
29	59	1915
30	61	1909
31	63	1911
32	64	1901
33	66	1891
34	67	1867
35	69	1849
36	70	1838
37	72	1826
38	73	1820
39	75	1807
40	76	1793
41	78	1789
42	79	1780
43	81	1773
44	82	1760
45	84	1748
46	85	1741
47	87	1731
48	89	1729
49	90	1714
50	92	1720
51	93	1710
52	95	1714
53	97	1707
54	99	1706
55	100	1699
56	102	1691
57	103	1688
58	105	1678
59	106	1676
60	108	1664
61	109	1660
62	111	1654
63	112	1650
64	114	1642
65	115	1639
66	117	1632
67	118	1626
68	120	1621
69	121	1612
70	123	1610
71	124	1607
72	126	1601
73	127	1599
74	129	1592
75	130	1587
76	132	1582
77	133	1576
78	135	1575
79	136	1571
80	138	1566
81	139	1563
82	141	1563
83	143	1562
84	144	1559
85	146	1555
86	147	1550
87	149	1547
88	150	1541
89	152	1537
90	153	1535
91	155	1531
92	156	1531
93	158	1527
94	160	1525
95	161	1522
96	162	1513
97	163	1504
98	165	1503
99	167	1507
100	169	1512
101	172	1520
102	174	1522
103	177	1526
104	179	1527
105	183	1545
106	184	1539
107	186	1539
108	189	1546
109	191	1549
110	193	1550
111	194	1544
112	196	1541
113	197	1537
114	199	1536
115	201	1531
116	202	1531
117	204	1526
118	205	1523
119	207	1522
120	209	1520
121	210	1516
122	212	1514
123	213	1510
124	215	1507
125	217	1505
126	218	1504
127	220	1501
128	221	1497
129	223	1497
130	224	1492
131	226	1489
132	228	1487
133	229	1485
134	231	1485
135	233	1481
136	234	1477
137	236	1475
138	237	1470
139	239	1469
140	241	1468
141	242	1466
142	244	1465
143	246	1463
144	247	1459
145	248	1454
146	250	1452
147	251	1449
148	253	1445
149	254	1443
150	256	1440
151	257	1438
152	259	1436
153	260	1432
154	262	1431
155	264	1429
156	265	1428
157	267	1425
158	268	1422
159	270	1421
160	272	1418
161	273	1414
162	274	1412
163	276	1408
164	277	1405
165	279	1403
166	281	1405
167	283	1404
168	285	1402
169	287	1402
170	288	1399
171	290	1397
172	290	1390
173	292	1387
174	293	1384
175	295	1382
176	296	1379
177	297	1375
178	299	1373
179	301	1371
180	302	1368
181	304	1366
182	305	1364
183	307	1362
184	308	1358
185	310	1357
186	311	1353
187	312	1350
188	314	1348
189	315	1345
190	317	1344
191	318	1340
192	320	1339
193	321	1336
194	323	1333
195	324	1329
196	325	1327
197	327	1326
198	329	1325
199	330	1322
200	332	1320
201	334	1321
202	335	1318
203	337	1317
204	339	1314
205	340	1312
206	342	1310
207	343	1308
208	345	1306
209	346	1304
210	348	1302
211	349	1300
212	351	1298
213	353	1296
214	354	1294
215	356	1292
216	358	1293
217	361	1296
218	363	1296
219	366	1297
220	367	1296
221	369	1294
222	371	1293
223	372	1291
224	374	1289
225	375	1287
226	377	1284
227	379	1283
228	380	1282
229	382	1280
230	384	1279
231	386	1278
232	387	1276
233	389	1274
234	390	1272
235	392	1270
236	393	1267
237	395	1265
238	396	1263
239	398	1260
240	399	1258
241	400	1255
242	402	1254
243	404	1252
244	405	1250
245	407	1248
246	408	1245
247	410	1244
248	411	1242
249	413	1239
250	414	1237
251	416	1235
252	417	1233
253	418	1229
254	420	1227
255	420	1223
256	422	1221
257	424	1219
258	425	1217
259	427	1216
260	429	1215
261	431	1214
262	433	1214
263	435	1212
264	436	1211
265	438	1209
266	439	1207
267	441	1205
268	443	1204
269	444	1202
270	446	1200
271	447	1198
272	449	1196
273	451	1195
274	452	1193
275	454	1191
276	455	1189
277	456	1186
278	458	1185
279	460	1184
280	462	1183
281	464	1182
282	466	1181
283	467	1179
284	469	1178
285	471	1176
286	473	1175
287	474	1174
288	476	1171
289	477	1170
290	479	1169
291	481	1167
292	482	1165
293	484	1163
294	485	1161
295	487	1158
296	488	1156
